"","description2"
"1","Iberville Parish, LA - A deputy with the Iberville Parish Sheriff’s Office was fired following his arrest in connection to the rape of a one-year-old child.

St. Gabriel Police Chief Kevin Ambeau said Shadrick Jones, 33, the now fired deputy, is accused of filming the rape of the child. Jones worked as a deputy for the Iberville Parish Sheriff’s Office. Before that, he was a deputy for the West Baton Rouge Parish Sheriff’s Office.

During a 2 p.m. press conference at the St. Gabriel Police Department, Ambeau said police received a video Friday evening of a woman sexually abusing an infant. The video was recorded at 4:38 p.m., Ambeau added.

The woman, identified as Iyehesa Todd, 26, told police that Jones coerced her to perform the sex act on the child because she had a traffic arrest warrant against her. She said she was afraid to go to jail. Todd told investigators Jones told her to perform the sex act because it was his “fantasy” to see something like that, Ambeau said

“I’ve never seen anything so sickening and disgusting in my own life,"" said Ambeau, who has been the police chief for 16 years.

Todd was arrested and charged with first-degree rape and incest. She was booked into the Iberville Parish jail.

Jones was charged with possession of child porn and principle to first-degree rape. He was booked into the West Baton Rouge Parish jail.

Their bonds have not been set, according to Ambeau.

Ambeau said child services has taken the child, who is now in the custody of a family member.

The case is being turned over to the district attorney’s office."
"2","Harrison County, KY - Two men have been charged in connection with the rape of a 12-year-old girl at gunpoint in Harrison County.

One of the suspects, 18-year-old Jonathan N. Carpenter, has been charged with rape and sodomy after authorities said Carpenter held a gun to the girl and forced her to perform a sex act in a vehicle. Hezekiah Hockensmith, 19,who is charged with facilitation to commit rape and sodomy, was inside the car when the incident took place.

Kentucky State Police said the two men then took the girl to Hockensmith’s residence where Carpenter raped the girl at gunpoint while Hockensmith waited outside.

The two suspects picked up the victim from her grandparents’ home in the early morning hours of May 31. They dropped her off at a gas station after her grandparents reported her missing.

Carpenter, who was additionally charged with trafficking in a controlled substance (cocaine) and engaging in organized crime, is being held in the Bourbon County Detention Center on a $50,000 bond, while Hockensmith is free on a $25,000 bond."
"3","Charlotte, NC - A man who is wanted for forcible rape and sex assault cut off his monitoring device in an attempt to elude authorities, according to CMPD.

Jamarcus Reams, 33, was court ordered to wear an electronic monitoring device as a condition to his pre-trial release. On May 11 Reams cut off the device.

He was last seen nearby 3300 Wilkinson Boulevard just west of Uptown.

Reams is charged with second degree forcible rape, and second degree sex assault.

Anyone with information is encourages to contact officials at 704-432-8888."
"4","Raleigh, WV— A man accused of concealing a dead body on his property near Beckley was arrested Tuesday.

According to the sheriff’s office, a report of a missing person from Fayette County led to a search warrant being executed at the home of Jack A. Maddy, 58, in the Raleigh Bottom area, where deputies located the body of a deceased adult male inside a barn adjacent to the house.

Maddy reportedly told authorities the victim lost consciousness in the kitchen while injecting himself with drugs. After unsuccessfully attempting to revive the victim, Maddy said he moved the man’s body to the barn and covered it with blankets and a tarp. He estimated the incident occurred either in late March or in early April.

Maddy was charged with a felony count of concealment of a deceased human body, and is being held at Southern Regional Jail on a $100,000 bond.

The body was sent to the state medical examiner’s office for an autopsy.

The victim’s identity was not disclosed."
"5","Pittsburgh, PA – Police in Pittsburgh are turning to the public for help in locating a missing woman.

According to the Pittsburgh Bureau of Police, 49-year-old Jennifer Antonoplos was last seen leaving UPMC Western Psychiatric Hospital Wednesday.

Antonoplos is described as 5-feet 4-inches tall, wearing a grat t-shirt with a bible verse on the back.

Police officals say she has lived in Homestead and South Park.

Anyone with information is asked to call missing persons detectives at 412-323-7141."
"6","Logan, UT - Prosecutors have added rape and sodomy charges against the uncle of a 5-year-old girl whose remains were found after she went missing late last month in Utah.

Elizabeth Shelley's mother last saw her on May 25 at 2 a.m. at their home in western Logan, according to Police Capt. Tyson Budge. That was also the last time her family saw suspect Alex Whipple, who'd visited the girl's home that Friday night.

Whipple was charged with aggravated murder and other charges last month, and the Cache County Attorney's Office announced Wednesday that it has received additional evidence since the filing of the original charges.

""This information led to the filing of two additional charges against Alex Whipple in the disappearance and murder of 5-year-old Elizabeth Shelley. These charges are rape of a child, a first degree felony and sodomy upon a child, also a first degree felony,"" the Cache County Attorney's Office said.

Prosecutors are awaiting a cause of death from the Utah office of the medical examiner.

Whipple, 21, has been the main suspect in the girl's disappearance. He was also charged with a count of child kidnapping, two counts of obstruction of justice and a count of desecration of a body, authorities said.

Suspect told authorities where to search

Investigators found Elizabeth's remains after the suspect provided a map of an area that authorities searched, police said.

""We certainly wanted to bring Lizzy home,"" Logan City Police Chief Gary Jensen said.

Whipple's attorney said his client gave information to authorities. ""He felt it would be appropriate to disclose the location of the body,"" attorney Shannon Demler said, indicating the location was close to the girl's home.

Death penalty taken off the table

Jensen said that a deal was reached with the Cache County Attorney's Office to take the death penalty off the table in exchange for information that would lead to the girl's body.

Whipple had been drinking and playing video games with Elizabeth's mother and her live-in boyfriend the night before the girl was reported missing, according to court documents filed in Cache County.

The suspect, located by police hours after Elizabeth vanished, gave investigators conflicting versions of his whereabouts the previous night, the documents said. At one point, he left a police interview room and ""began licking his hands"" and trying to wipe them clean.

Whipple eventually admitted being at Elizabeth's home and told police he went on a walk to ""enjoy the scenery"" after his sister and boyfriend went to their room, according to the documents. Again, investigators discovered inconsistencies in his time line.

Suspect talks about 'evil' in the world

During the interview with police, the documents said, the suspect referred to the ""evil"" in the world and his ""struggles as a child and how his family has treated him horribly throughout his life.""

Whipple told police that alcohol makes him ""black out"" and that ""he sometimes does 'criminal things' when he blacks out,"" the documents said. There were dark stains consistent with blood on his pants and cuts on his hands.

Investigators searching for the girl later discovered a broken, blood-stained knife that was missing from her mother's kitchen and a PVC pipe with a partial, bloodied palm print, according to the documents.

Not far away, police found the teal skirt with white lace that Elizabeth had been wearing buried beneath dirt and bark. The skirt was stained with blood. A small concrete block nearby also was stained with blood.

The blood on the suspect's clothing, his watch and the knife were matched to Elizabeth during a DNA test, the documents said. The palm print on the pipe was matched to the suspect.

Whipple was arrested on a warrant for probation violation and was ordered held without bail, according to CNN affiliate KSTU."
"7","Milbury, OH - A 24-year-old Toledo man is arrested on 64 charges of rape, attempted rape and child porn.

Officers from Lake Township took Jonathon Christopher Wright into custody Thursday. All charges involved minor children.

He is being held without bail at the Wood County Justice Center.

Stay tuned for updates..."
"8","Amesbury, MA - A Massachusetts man accused of giving drugs to a 13-year-old girl and then dropping her off at a hospital where she soon died was charged Tuesday with aggravated rape of a child, prosecutors said.

Carlos Rivera, 47, was in court for a dangerousness hearing when he was instead arraigned on the rape charge following new evidence in the death of the girl. Preliminary results from an autopsy on the 13-year-old linked Rivera's DNA to her, the Essex District Attorney's Office said.

Rivera, who was arrested on May 25, was arraigned last week on two counts of distribution of cocaine to a minor, two counts of indecent assault and battery on a child under 14, and one count of indecent assault and battery on a person 14 or over.

The district attorney's office said last week that Rivera was also accused of indecently assaulting another girl, who is 16. That alleged assault was discovered during the investigation regarding the 13-year-old.

Detectives said he left the 13-year-old at Lawrence General Hospital on May 20. She died shortly after arriving. The cause and manner of her death have not yet been revealed, the district attorney's office said.

According to investigators, Rivera was accompanied by another girl, who was under 16, when he dropped off the 13-year-old at the hospital. Detectives said both girls were at Rivera's apartment prior to the 13-year-old's death.

The 13-year-old girl's mother told the Boston Globe that she dropped her daughter off at a friend's house in Amesbury and became worried when she had not heard from her. After texting some of her daughter's friends, the mother said she learned that the girl had been taken to the hospital.

Rivera is being held without bail and is expected to appear in court for a probable cause hearing on July 2."
"9","East New York, NY - A Brooklyn man accused of raping his 88-year-old neighbor told cops he didn’t sexually assault the woman — he just tied her up and took off her clothes, according to newly unsealed court documents.

“I didn’t have sex with her,” Selwyn Worrell told officers during a rambling statement following his April arrest. “I never raped that lady. I just tied her up and I took her shirt off, that’s it. I just wanted her not to move.”

Worrell pleaded not guilty Monday to various charges, including rape and burglary, for the East New York home invasion. The elderly woman survived the attack, and was rescued after activating her Life Alert necklace.

The 24-year-old originally told cops he didn’t know the victim, but then admitted he’d known the octogenarian his “whole life.”

He said he “blacked out” after smoking weed, and stole a gold watch, and later remembers suddenly being in the basement and hearing her scream.

“I didn’t hit the lady,” Worrell raved. “She was screaming because when I grabbed her I had my hand around her neck, I don’t remember hitting that lady, man. I tied her with tape. I started searching through her s–t.”

He ends the tirade saying: “I’ll go upstate and kill myself.”

Worrell is due back in court July 30. He faces up to 25 years behind bars if convicted."
"10","Los Angeles, CA (AP) —The leader and self-proclaimed apostle of La Luz del Mundo, a Mexico-based church with branches in the U.S. that claims over 1 million followers, has been charged with human trafficking and child rape, California officials announced Tuesday.

Joaquín García and a follower of the church, 24-year-old Susana Medina Oaxaca, were arrested Monday after landing at Los Angeles International Airport, California Attorney General Xavier Becerra's office said.

Around 1,000 worshippers gathered at the headquarters of La Luz del Mundo in Guadalajara, Jalisco, on Tuesday evening to pray for García as he was held in Los Angeles on $25 million bail.

García, 50, faces 26 counts of felony charges that range from human trafficking and production of child pornography to forcible rape of a minor. The charges detail a series of disturbing allegations involving three girls and one woman between 2015 and 2018 in Los Angeles County.

The fundamentalist Christian church, whose name translates to The Light of the World, was founded in 1926 by García's grandfather. It has been the subject of child sex abuse allegations for years but authorities in Mexico have never filed criminal charges. It has more than 15,000 churches in 58 countries, according to its website. The church's followers must adhere to a strict moral code in exchange for the promise of eternal salvation.

García - who was a minister in Los Angeles and other parts of Southern California before becoming the church's leader - coerced the victims into performing sex acts by telling them that refusing would be going against God, authorities said. He allegedly forced the victims, who were members of the church, to sexually touch themselves and each other. One of his co-defendants also allegedly took nude photographs of the victims and sent the pictures to García.

García told one of the victims and others in 2017, after they had completed a ""flirty"" dance wearing ""as little clothing as possible"" that kings can have mistresses and an apostle of God cannot be judged for his actions, the complaint states.

""Crimes like those alleged in this complaint have no place in our society. Period,"" Becerra said in a press release. ""We must not turn a blind eye to sexual violence and trafficking in our state.""

The attorney general's investigation began in 2018, prompted in part by a tip to the state's Department of Justice through an online clergy abuse complaint form.

David Correa, a spokesman from the church's headquarters, said in a phone call that they learned about the charges from the media.

""We categorically deny those false accusations,"" Correa said. ""We know him personally and he is an honorable and honest man.""

Church officials said García has always behaved lawfully and rejected the attorney general's charges.

The church's statement Tuesday said they hoped the accusations would not lead to discrimination and religious intolerance against its followers.

A third follower, Alondra Ocampo, 36, was arrested in Los Angeles County and is being held at the sheriff's Century Regional Detention Facility in Lynwood ahead of her arraignment Wednesday in Los Angeles. A fourth defendant, Azalea Rangel Melendez, remains at large.

It wasn't immediately clear whether the defendants had an attorney.

In May, an opera concert at Palacio de Bellas Artes, the main cultural venue in Mexico, generated controversy because in some places it was presented as a tribute to García. Critics said a secular state such as Mexico shouldn't use a public place for that purpose.

The work, ""The Guardian of the Mirror,"" was broadcast on social networks and screened outside the Palace, with the church's followers in the audience.

La Luz del Mundo denied that it was an homage and said the opinions expressed in social networks were not promoted by the institution.

Airport police referred media inquiries to Customs and Border Patrol, which did not immediately have a comment."
